tweet_id,tweet_text,sentiment
52,History shows that not every tension leads to a global conflict and everyone seems to have an opinion,positive
53,International pressure will likely stop any situation from getting worse while the situation continues to develop,positive
54,I worry that one mistake could trigger a massive conflict as the world watches closely,negative
55,I am honestly scared about how quickly tensions are rising globally as the world watches closely,negative
56,I am concerned that diplomacy might fail this time and opinions remain divided globally,negative
57,There are ongoing discussions about global tensions across different platforms as the world watches closely,neutral
58,This situation feels like it could spiral into something very dangerous and everyone seems to have an opinion,negative
59,This situation feels like it could spiral into something very dangerous as more updates continue to emerge,negative
60,It feels like we are heading toward something really bad as uncertainty still remains high,negative
61,It feels like leaders are not taking the risks seriously enough and people are reacting strongly online,negative
62,This situation makes me anxious about the future of the world as uncertainty still remains high,negative
63,Discussions include political and economic impacts of the situation and people are reacting strongly online,neutral
64,The situation is being monitored closely by experts worldwide and people are reacting strongly online,neutral
65,Reports mention meetings between leaders to address tensions as the world watches closely,neutral
66,The idea of a world war happening again is really terrifying as the world watches closely,negative
67,I believe diplomacy will prevent any global conflict from happening soon and people are reacting strongly online,positive
68,People are sharing different perspectives on current global events and opinions remain divided globally,neutral
69,History shows that not every tension leads to a global conflict and everyone seems to have an opinion,positive
70,I am honestly scared about how quickly tensions are rising globally and opinions remain divided globally,negative
71,Experts are analyzing the situation and possible outcomes carefully and everyone seems to have an opinion,neutral
72,I am concerned that diplomacy might fail this time and people are reacting strongly online,negative
73,Discussions include political and economic impacts of the situation as uncertainty still remains high,neutral
74,Leaders understand the risks and will choose peace over escalation as the world watches closely,positive
75,I am concerned that diplomacy might fail this time as uncertainty still remains high,negative
76,Leaders understand the risks and will choose peace over escalation and everyone seems to have an opinion,positive
77,Leaders understand the risks and will choose peace over escalation as the world watches closely,positive
78,There are debates about whether tensions will escalate further and everyone seems to have an opinion,neutral
79,Many are following developments in real time through news updates and opinions remain divided globally,neutral
80,Leaders understand the risks and will choose peace over escalation and everyone seems to have an opinion,positive
81,There are many peaceful solutions still available for all countries involved as uncertainty still remains high,positive
82,People are sharing different perspectives on current global events as the world watches closely,neutral
83,News channels are covering updates about international relations regularly and opinions remain divided globally,neutral
84,I feel confident that talks behind the scenes will calm everything down which is being widely discussed everywhere,positive
85,I feel confident that talks behind the scenes will calm everything down and people are reacting strongly online,positive
86,Everything seems so unstable and unpredictable right now and everyone seems to have an opinion,negative
87,Experts are analyzing the situation and possible outcomes carefully and everyone seems to have an opinion,neutral
88,It feels like we are heading toward something really bad and everyone seems to have an opinion,negative
89,History shows that not every tension leads to a global conflict and people are reacting strongly online,positive
90,It feels like we are heading toward something really bad and people are reacting strongly online,negative
91,It feels like leaders are not taking the risks seriously enough as the world watches closely,negative
92,This situation makes me anxious about the future of the world while the situation continues to develop,negative
93,The tension between countries is getting worse day by day while the situation continues to develop,negative
94,Analysts are comparing current events with past global conflicts as more updates continue to emerge,neutral
95,This situation feels like it could spiral into something very dangerous and everyone seems to have an opinion,negative
96,People worldwide prefer stability and cooperation over destructive wars as more updates continue to emerge,positive
97,There are debates about whether tensions will escalate further as uncertainty still remains high,neutral
98,I feel confident that talks behind the scenes will calm everything down and people are reacting strongly online,positive
99,I worry that one mistake could trigger a massive conflict while the situation continues to develop,negative
100,There are many peaceful solutions still available for all countries involved as more updates continue to emerge,positive
